"Y","Objective","Error_Metric","Rounds","Booster","LM_Lambda","LM_Alpha","LM_Lambda_Bias","Eta","Max_Depth","Subsample","Colsample_bytree","Colsample_bylevel","Error"
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,4,0.9,0.5,0.7,13.2978664
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,4,0.9,0.5,0.9,13.2695336
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,4,0.9,0.7,0.5,13.2506388
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,4,0.9,0.7,0.7,13.349146
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,4,0.9,0.7,0.9,13.2862194
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,4,0.9,0.9,0.5,13.4101674
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,4,0.9,0.9,0.7,13.3673526
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,4,0.9,0.9,0.9,13.3373522
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,6,0.5,0.5,0.5,13.260923
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,6,0.5,0.5,0.7,13.4343874
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,6,0.5,0.5,0.9,13.467203
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,6,0.5,0.7,0.5,13.5052076
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,6,0.5,0.7,0.7,13.4115424
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,6,0.5,0.7,0.9,13.4180426
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,6,0.5,0.9,0.5,13.4045778
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,6,0.5,0.9,0.7,13.4222266
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,6,0.5,0.9,0.9,13.3561148
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,6,0.7,0.5,0.5,13.3845006
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,6,0.7,0.5,0.7,13.2926486
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,6,0.7,0.5,0.9,13.4565544
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,6,0.7,0.7,0.5,13.4958968
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,6,0.7,0.7,0.7,13.4974336
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,6,0.7,0.7,0.9,13.3123406
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,6,0.7,0.9,0.5,13.5079616
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,6,0.7,0.9,0.7,13.385098
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,6,0.7,0.9,0.9,13.3266292
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,6,0.9,0.5,0.5,13.4457872
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,6,0.9,0.5,0.7,13.3519622
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,6,0.9,0.5,0.9,13.3994848
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,6,0.9,0.7,0.5,13.3645188
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,6,0.9,0.7,0.7,13.366338
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,6,0.9,0.7,0.9,13.426712
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,6,0.9,0.9,0.5,13.4077234
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,6,0.9,0.9,0.7,13.4071474
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,6,0.9,0.9,0.9,13.3708152
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,8,0.5,0.5,0.5,13.3181524
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,8,0.5,0.5,0.7,13.4288942
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,8,0.5,0.5,0.9,13.4869408
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.7,8,0.5,0.7,0.5,13.3564064
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.7,8,0.5,0.7,0.7,13.4182782
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.7,8,0.5,0.7,0.9,13.5248816
